PDB	Cluster
ES179M1-01_5isz_0002_local_dock_0097	1	-16.790
ES179M1-01_5isz_0002_local_dock_0012	1	-16.284
ES179M1-01_5isz_0002_local_dock_0008	1	-15.890
ES179M1-01_5isz_0002_local_dock_0019	0	-15.529
ES179M1-01_5isz_0002_local_dock_0074	1	-15.428
ES179M1-01_5isz_0002_local_dock_0016	2	-15.419
ES179M1-01_5isz_0002_local_dock_0088	2	-14.859
ES179M1-01_5isz_0002_local_dock_0024	0	-14.706
ES179M1-01_5isz_0002_local_dock_0057	3	-14.314
ES179M1-01_5isz_0002_local_dock_0045	3	-14.300
ES179M1-01_5isz_0002_local_dock_0055	0	-14.255
ES179M1-01_5isz_0002_local_dock_0083	0	-14.121
ES179M1-01_5isz_0002_local_dock_0037	2	-14.115
ES179M1-01_5isz_0002_local_dock_0010	1	-13.907
ES179M1-01_5isz_0002_local_dock_0075	1	-13.799
ES179M1-01_5isz_0002_local_dock_0039	2	-13.576
ES179M1-01_5isz_0002_local_dock_0018	2	-13.364
ES179M1-01_5isz_0002_local_dock_0031	1	-13.103
ES179M1-01_5isz_0002_local_dock_0059	1	-13.002
ES179M1-01_5isz_0002_local_dock_0058	2	-12.851
ES179M1-01_5isz_0002_local_dock_0002	1	-12.797
ES179M1-01_5isz_0002_local_dock_0095	2	-12.788
ES179M1-01_5isz_0002_local_dock_0066	3	-12.778
ES179M1-01_5isz_0002_local_dock_0087	2	-12.703
ES179M1-01_5isz_0002_local_dock_0099	0	-12.673
ES179M1-01_5isz_0002_local_dock_0009	1	-12.499
ES179M1-01_5isz_0002_local_dock_0021	1	-12.494
ES179M1-01_5isz_0002_local_dock_0093	1	-12.400
ES179M1-01_5isz_0002_local_dock_0076	1	-12.351
ES179M1-01_5isz_0002_local_dock_0078	2	-12.225
ES179M1-01_5isz_0002_local_dock_0051	3	-12.029
ES179M1-01_5isz_0002_local_dock_0052	3	-11.846
ES179M1-01_5isz_0002_local_dock_0086	3	-11.710
ES179M1-01_5isz_0002_local_dock_0043	3	-11.697
ES179M1-01_5isz_0002_local_dock_0048	2	-11.534
ES179M1-01_5isz_0002_local_dock_0001	1	-11.485
ES179M1-01_5isz_0002_local_dock_0006	3	-11.474
ES179M1-01_5isz_0002_local_dock_0073	2	-11.338
ES179M1-01_5isz_0002_local_dock_0096	3	-11.083
ES179M1-01_5isz_0002_local_dock_0092	3	-11.066
ES179M1-01_5isz_0002_local_dock_0036	3	-10.898
ES179M1-01_5isz_0002_local_dock_0065	2	-10.858
ES179M1-01_5isz_0002_local_dock_0046	0	-10.740
ES179M1-01_5isz_0002_local_dock_0054	0	-10.728
ES179M1-01_5isz_0002_local_dock_0034	1	-10.618
ES179M1-01_5isz_0002_local_dock_0007	0	-10.580
ES179M1-01_5isz_0002_local_dock_0042	3	-10.566
ES179M1-01_5isz_0002_local_dock_0067	2	-10.563
ES179M1-01_5isz_0002_local_dock_0071	2	-10.563
ES179M1-01_5isz_0002_local_dock_0011	1	-10.421
ES179M1-01_5isz_0002_local_dock_0062	0	-10.206
ES179M1-01_5isz_0002_local_dock_0085	1	-10.079
ES179M1-01_5isz_0002_local_dock_0063	0	-10.005
ES179M1-01_5isz_0002_local_dock_0098	0	-10.001
ES179M1-01_5isz_0002_local_dock_0004	2	-9.990
ES179M1-01_5isz_0002_local_dock_0032	2	-9.874
ES179M1-01_5isz_0002_local_dock_0091	3	-9.726
ES179M1-01_5isz_0002_local_dock_0060	0	-9.697
ES179M1-01_5isz_0002_local_dock_0003	3	-9.640
ES179M1-01_5isz_0002_local_dock_0015	1	-9.543
ES179M1-01_5isz_0002_local_dock_0047	2	-9.464
ES179M1-01_5isz_0002_local_dock_0014	2	-9.378
ES179M1-01_5isz_0002_local_dock_0064	2	-9.281
ES179M1-01_5isz_0002_local_dock_0070	0	-9.229
ES179M1-01_5isz_0002_local_dock_0038	3	-9.201
ES179M1-01_5isz_0002_local_dock_0005	3	-9.121
ES179M1-01_5isz_0002_local_dock_0100	0	-8.959
ES179M1-01_5isz_0002_local_dock_0082	1	-8.778
ES179M1-01_5isz_0002_local_dock_0040	2	-8.758
ES179M1-01_5isz_0002_local_dock_0033	3	-8.639
ES179M1-01_5isz_0002_local_dock_0089	1	-8.544
ES179M1-01_5isz_0002_local_dock_0053	2	-8.519
ES179M1-01_5isz_0002_local_dock_0035	3	-8.479
ES179M1-01_5isz_0002_local_dock_0081	1	-8.455
ES179M1-01_5isz_0002_local_dock_0030	3	-8.283
ES179M1-01_5isz_0002_local_dock_0050	3	-8.241
ES179M1-01_5isz_0002_local_dock_0080	2	-7.991
ES179M1-01_5isz_0002_local_dock_0090	2	-7.981
ES179M1-01_5isz_0002_local_dock_0094	2	-7.927
ES179M1-01_5isz_0002_local_dock_0017	3	-7.876
ES179M1-01_5isz_0002_local_dock_0013	3	-7.806
ES179M1-01_5isz_0002_local_dock_0023	0	-7.792
ES179M1-01_5isz_0002_local_dock_0077	2	-7.697
ES179M1-01_5isz_0002_local_dock_0079	3	-7.656
ES179M1-01_5isz_0002_local_dock_0072	1	-7.491
ES179M1-01_5isz_0002_local_dock_0025	0	-7.168
ES179M1-01_5isz_0002_local_dock_0056	3	-7.073
ES179M1-01_5isz_0002_local_dock_0061	0	-7.006
ES179M1-01_5isz_0002_local_dock_0028	2	-6.906
ES179M1-01_5isz_0002_local_dock_0069	0	-6.886
ES179M1-01_5isz_0002_local_dock_0044	2	-6.480
ES179M1-01_5isz_0002_local_dock_0027	2	-6.247
