PDB	Cluster
D044M1-01_1qrn_prepack_0001_ensemble_dock_01090	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01270	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00464	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01414	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00179	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01221	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00558	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00298	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00209	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00817	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01403	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00386	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01309	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00551	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00424	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01439	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01283	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01758	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01523	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01273	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00148	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00590	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00177	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00027	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01567	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01158	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01271	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00813	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01257	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00553	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01045	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00902	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00688	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01280	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01551	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01174	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00702	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00462	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01003	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00130	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00961	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01186	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00348	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00746	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01235	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00860	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00427	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01214	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01750	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01260	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01286	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00409	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00079	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00756	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00105	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00048	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00819	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01051	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00949	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01194	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00096	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00716	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00704	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01590	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01571	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00740	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00157	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00675	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00639	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01319	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01050	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00793	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01209	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01274	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01115	2
D044M1-01_1qrn_prepack_0001_ensemble_dock_01301	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_01378	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00970	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01515	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00217	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_00630	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00043	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01535	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01087	1
D044M1-01_1qrn_prepack_0001_ensemble_dock_01080	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00133	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00432	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00783	0
D044M1-01_1qrn_prepack_0001_ensemble_dock_00789	2
